Customer nr.,Customer name,SaTy,Document,Material,Processed quantity,Purchase order no.,OrdRs,Item,Date order,    Net
270200100,Media Markt I.,ZSTC,67638394,DSCHX300B8DI.YH,2,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,20,16.09.2013,"77,24"
270200140,Media Markt II.,ZSTC,67638395,DSCHX300B8DI.YH,1,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,20,16.09.2013,"38,61"
270200140,Media Markt II.,ZSTC,67638396,DSCHX300B8DI.YH,4,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,190,16.09.2013,"154,48"
270200150,Media Markt III.,ZSTC,67638397,DSCHX300B8DI.YH,1,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,70,16.09.2013,"38,61"
270200200,Media Markt IV.,ZSTC,67638398,DSCHX300B8DI.YH,1,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,10,16.09.2013,"38,62"
270420001,ΜΑΓΡΙΖΟΣ ΙΝΟ ΕΠΕ,ZSTC,67638399,DSCHX300B8DI.YH,2,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,50,16.09.2013,"70,32"
270420007,ΑΓΓΛΟΠΟΥΛΟΣ Η. ΒΑΣΙΛΕΙΟΣ,ZSTC,67638400,DSCHX300B8DI.YH,1,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,10,16.09.2013,"35,16"
270420008,ΣΤΑΥΡΙΝΑΚΗΣ ΜΑΡΚΟΣ & ΣΙΑ ΟΕ,ZSTC,67638401,DSCHX300B8DI.YH,2,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,221,16.09.2013,"70,32"
270420008,ΣΤΑΥΡΙΝΑΚΗΣ ΜΑΡΚΟΣ & ΣΙΑ ΟΕ,ZSTC,67638402,DSCHX300B8DI.YH,2,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,61,16.09.2013,"70,32"
270430011,ΑΝΔΡΙΤΣΟΣ ΣΠ.-ΕΛΕΥΘΕΡΑΚΗΣ ΣΤ.Ο,ZSTC,67638403,DSCHX300B8DI.YH,1,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,20,16.09.2013,"35,16"
270430011,ΑΝΔΡΙΤΣΟΣ ΣΠ.-ΕΛΕΥΘΕΡΑΚΗΣ ΣΤ.Ο,ZSTC,67638403,DSCHX300B8DI.YH,1,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,30,16.09.2013,"35,16"
270430011,ΑΝΔΡΙΤΣΟΣ ΣΠ.-ΕΛΕΥΘΕΡΑΚΗΣ ΣΤ.Ο,ZSTC,67638404,DSCHX300B8DI.YH,1,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,20,16.09.2013,"35,16"
270430011,ΑΝΔΡΙΤΣΟΣ ΣΠ.-ΕΛΕΥΘΕΡΑΚΗΣ ΣΤ.Ο,ZSTC,67638405,DSCHX300B8DI.YH,2,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,30,16.09.2013,"70,32"
270800146,DIGITAL PASSION ΕΠΕ,ZSTC,67638406,DSCHX300B8DI.YH,2,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,1270,16.09.2013,"63,4"
270800146,DIGITAL PASSION ΕΠΕ,ZSTC,67638407,DSCHX300B8DI.YH,2,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,1220,16.09.2013,"63,4"
270800146,DIGITAL PASSION ΕΠΕ,ZSTC,67638408,DSCHX300B8DI.YH,1,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,121,16.09.2013,"31,7"
271500040,VISION HIRE LTD,ZSTC,67638409,DSCHX300B8DI.YH,2,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,40,16.09.2013,"63,42"
272101034,RETAIL WORLD Α.Ε,ZSTC,67638410,DSCHX300B8DI.YH,5,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,230,16.09.2013,"168,65"
272500650,ΠΛΑΙΣΙΟ COMPUTERS ΑΕΒΕ,ZSTC,67638411,DSCHX300B8DI.YH,1,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,310,16.09.2013,"33,73"
271500357,AMSTESO ELECTRIC LTD,ZSTC,67640314,DSCHX300B8DI.YH,1,ΠΤΩΣΗ ΤΙΜΗΣ 05/08/20,NCT,10,17.09.2013,"34,96"
